index,Booking_ID,num_adults,num_children,weekend_nights,week_nights,total_nights,meal_plan,car_parking,room_type,lead_time,arrival_year,arrival_month,arrival_day,arrival_season,mkt_segment,repeated_guest,num_prev_cancellations,num_prev_not_canceled,avg_price_room,num_sp_requests,booking_status,meal_plan_cod,room_type_cod,mkt_segment_cod,arrival_season_cod,booking_status_cod
17,INN00018,2,0,1,3,4,Not Selected,0,Room_Type 1,1,2017,8,10,spring,Online,0,0,0,96.0,1,No cancelada,0,1,4,1,0
18,INN00019,2,0,2,2,4,Meal Plan 1,0,Room_Type 1,99,2017,10,30,autumn,Online,0,0,0,65.0,0,Cancelada,1,1,4,0,1
19,INN00020,2,0,1,0,1,Meal Plan 1,0,Room_Type 1,12,2017,10,4,autumn,Offline,0,0,0,72.0,0,No cancelada,1,1,3,0,0
20,INN00021,2,0,2,2,4,Meal Plan 1,0,Room_Type 1,99,2017,10,30,autumn,Online,0,0,0,65.0,0,Cancelada,1,1,4,0,1
21,INN00022,1,0,0,1,1,Meal Plan 1,0,Room_Type 1,122,2018,11,25,spring,Corporate,0,0,0,67.0,0,No cancelada,1,1,2,1,0
22,INN00023,2,0,2,4,6,Meal Plan 1,0,Room_Type 1,2,2018,3,20,winter,Offline,0,0,0,85.0,0,No cancelada,1,1,3,3,0
23,INN00024,2,0,0,3,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,autumn,Offline,0,0,0,105.0,0,No cancelada,1,1,3,0,0
24,INN00025,2,0,2,1,3,Not Selected,0,Room_Type 1,130,2018,5,22,spring,Online,0,0,0,94.5,1,No cancelada,0,1,4,1,0
25,INN00026,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,99,2018,4,28,spring,Online,0,0,0,114.3,1,No cancelada,1,1,4,1,0
26,INN00027,2,0,1,1,2,Meal Plan 1,0,Room_Type 1,60,2017,9,21,summer,Offline,0,0,0,65.0,0,No cancelada,1,1,3,2,0
27,INN00028,1,0,0,2,2,Meal Plan 1,0,Room_Type 4,2,2018,5,19,spring,Aviation,0,0,0,110.0,0,Cancelada,1,4,0,1,1
28,INN00029,1,0,1,2,3,Meal Plan 1,0,Room_Type 1,37,2017,11,6,spring,Online,0,0,0,37.33,0,Cancelada,1,1,4,1,1
29,INN00030,2,0,0,2,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,summer,Offline,0,0,0,82.0,0,No cancelada,2,1,3,2,0
30,INN00031,2,0,1,1,2,Meal Plan 1,0,Room_Type 4,3,2017,9,19,summer,Online,0,0,0,130.66,1,No cancelada,1,4,4,2,0
31,INN00032,2,0,2,2,4,Meal Plan 1,0,Room_Type 1,107,2018,11,13,spring,Online,0,0,0,87.5,1,No cancelada,1,1,4,1,0
33,INN00034,2,0,0,1,1,Not Selected,0,Room_Type 1,2,2018,1,9,winter,Online,0,0,0,69.5,1,No cancelada,0,1,4,3,0
34,INN00035,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,72,2018,10,7,autumn,Offline,0,0,0,85.5,0,No cancelada,1,1,3,0,0
35,INN00036,2,0,0,1,1,Not Selected,1,Room_Type 1,23,2018,4,27,spring,Online,0,0,0,115.0,1,No cancelada,0,1,4,1,0
36,INN00037,1,0,2,1,3,Meal Plan 1,0,Room_Type 1,34,2018,6,19,spring,Online,0,0,0,81.0,0,Cancelada,1,1,4,1,1
37,INN00038,2,0,0,1,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,autumn,Offline,0,0,0,67.0,0,No cancelada,1,1,3,0,0
38,INN00039,2,0,2,3,5,Not Selected,0,Room_Type 1,247,2018,11,19,spring,Online,0,0,0,63.75,0,Cancelada,0,1,4,1,1
39,INN00040,2,0,2,1,3,Meal Plan 1,0,Room_Type 4,186,2018,7,30,summer,Online,0,0,0,121.8,1,Cancelada,1,4,4,2,1
40,INN00041,2,0,0,4,4,Meal Plan 1,0,Room_Type 1,64,2018,11,1,spring,Online,0,0,0,93.6,2,No cancelada,1,1,4,1,0
41,INN00042,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,35,2018,6,21,summer,Online,0,0,0,102.0,1,No cancelada,1,1,4,2,0
42,INN00043,3,0,2,1,3,Meal Plan 1,0,Room_Type 1,96,2018,4,10,spring,Online,0,0,0,121.8,1,No cancelada,1,1,4,1,0
43,INN00044,2,0,1,1,2,Not Selected,0,Room_Type 1,41,2018,6,27,summer,Online,0,0,0,98.1,1,Cancelada,0,1,4,2,1
44,INN00045,2,0,0,4,4,Meal Plan 1,0,Room_Type 4,55,2017,11,18,spring,Offline,0,0,0,60.0,1,No cancelada,1,4,3,1,0
45,INN00046,2,0,0,3,3,Meal Plan 1,0,Room_Type 1,146,2017,12,29,winter,Offline,0,0,0,75.0,0,No cancelada,1,1,3,3,0
46,INN00047,1,0,0,2,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,spring,Offline,0,0,0,73.0,0,No cancelada,1,1,3,1,0
47,INN00048,2,0,0,1,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,spring,Offline,0,0,0,104.0,0,No cancelada,2,1,3,1,0
48,INN00049,2,0,0,4,4,Not Selected,0,Room_Type 1,57,2018,11,1,spring,Online,0,0,0,79.2,1,No cancelada,0,1,4,1,0
49,INN00050,1,0,1,3,4,Meal Plan 1,0,Room_Type 4,7,2018,12,29,winter,Online,0,0,0,125.8,2,No cancelada,1,4,4,3,0
50,INN00051,1,0,2,5,7,Not Selected,0,Room_Type 1,124,2018,5,30,spring,Online,0,0,0,87.95,0,No cancelada,0,1,4,1,0
51,INN00052,2,0,2,2,4,Meal Plan 2,0,Room_Type 1,169,2018,4,22,spring,Online,0,0,0,106.0,0,Cancelada,2,1,4,1,1
52,INN00053,1,0,1,2,3,Meal Plan 1,0,Room_Type 1,6,2018,5,16,spring,Online,0,0,0,136.67,1,No cancelada,1,1,4,1,0
53,INN00054,2,0,0,4,4,Meal Plan 1,0,Room_Type 4,51,2017,11,11,autumn,Offline,0,0,0,60.0,1,No cancelada,1,4,3,0,0
54,INN00055,2,0,1,0,1,Not Selected,0,Room_Type 1,13,2018,6,13,spring,Online,0,0,0,89.0,2,No cancelada,0,1,4,1,0
55,INN00056,2,0,1,3,4,Meal Plan 1,0,Room_Type 1,100,2018,5,19,spring,Online,0,0,0,136.0,1,No cancelada,1,1,4,1,0
56,INN00057,2,0,0,1,1,Not Selected,0,Room_Type 1,139,2018,7,28,summer,Online,0,0,0,94.5,1,No cancelada,0,1,4,2,0
57,INN00058,2,0,1,2,3,Meal Plan 1,0,Room_Type 1,117,2018,12,26,winter,Online,0,0,0,93.6,2,No cancelada,1,1,4,3,0
58,INN00059,2,0,1,4,5,Meal Plan 1,0,Room_Type 4,39,2018,4,20,spring,Online,0,0,0,120.6,0,Cancelada,1,4,4,1,1
59,INN00060,2,0,0,3,3,Meal Plan 1,0,Room_Type 4,86,2018,4,6,spring,Online,0,0,0,99.3,1,No cancelada,1,4,4,1,0
60,INN00061,2,2,0,1,1,Meal Plan 1,1,Room_Type 6,2,2018,9,2,winter,Online,0,0,0,147.10909090909092,1,No cancelada,1,6,4,3,0
61,INN00062,1,0,0,3,3,Meal Plan 1,0,Room_Type 4,19,2018,5,3,spring,Online,0,0,0,120.12,2,No cancelada,1,4,4,1,0
62,INN00063,1,0,0,2,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,summer,Offline,0,0,0,95.0,0,No cancelada,1,1,3,2,0
63,INN00064,1,0,0,1,1,Meal Plan 1,0,Room_Type 1,2,2017,9,10,summer,Complementary,0,0,0,65.75727272727272,1,No cancelada,1,1,1,2,0
64,INN00065,2,0,2,1,3,Meal Plan 1,0,Room_Type 1,86,2018,12,18,autumn,Offline,0,0,0,75.0,0,No cancelada,1,1,3,0,0
65,INN00066,2,0,0,3,3,Meal Plan 1,0,Room_Type 4,30,2018,10,5,autumn,Online,0,0,0,157.5,2,No cancelada,1,4,4,0,0
66,INN00067,2,0,0,2,2,Meal Plan 1,0,Room_Type 4,179,2018,6,3,spring,Online,0,0,0,97.7,1,No cancelada,1,4,4,1,0
67,INN00068,2,0,0,2,2,Meal Plan 1,0,Room_Type 4,26,2018,4,15,spring,Online,0,0,0,142.0,0,Cancelada,1,4,4,1,1
68,INN00069,2,0,0,1,1,Meal Plan 1,0,Room_Type 1,55,2018,4,6,spring,Offline,0,0,0,80.0,0,No cancelada,1,1,3,1,0
69,INN00070,2,0,1,2,3,Meal Plan 1,0,Room_Type 1,74,2018,4,25,spring,Online,0,0,0,85.5,1,No cancelada,1,1,4,1,0
70,INN00071,2,0,0,3,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,spring,Offline,0,0,0,100.0,0,No cancelada,1,1,3,1,0
71,INN00072,2,0,1,0,1,Not Selected,0,Room_Type 1,34,2018,11,14,spring,Online,0,0,0,88.0,2,No cancelada,0,1,4,1,0
72,INN00073,2,0,1,1,2,Meal Plan 1,1,Room_Type 1,30,2018,8,29,spring,Online,0,0,0,122.85,1,No cancelada,1,1,4,1,0
73,INN00074,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,177,2018,6,3,spring,Online,0,0,0,100.0,0,Cancelada,1,1,4,1,1
74,INN00075,2,0,2,3,5,Meal Plan 1,0,Room_Type 4,34,2017,10,25,autumn,Offline,0,0,0,75.0,0,No cancelada,1,4,3,0,0
75,INN00076,2,0,1,4,5,Meal Plan 1,0,Room_Type 4,18,2018,3,9,winter,Online,0,0,0,116.8,1,No cancelada,1,4,4,3,0
76,INN00077,3,0,1,1,2,Meal Plan 1,0,Room_Type 4,267,2018,12,31,winter,Online,0,0,0,121.5,0,No cancelada,1,4,4,3,0
77,INN00078,2,0,1,2,3,Meal Plan 1,0,Room_Type 1,64,2018,6,27,summer,Online,0,0,0,111.9,1,No cancelada,1,1,4,2,0
78,INN00079,3,0,2,5,7,Meal Plan 1,0,Room_Type 4,155,2018,6,28,summer,Online,0,0,0,121.55,2,Cancelada,1,4,4,2,1
79,INN00080,2,0,0,5,5,Meal Plan 1,0,Room_Type 1,46,2018,3,29,spring,Offline,0,0,0,75.0,1,No cancelada,1,1,3,1,0
80,INN00081,2,2,0,2,2,Meal Plan 1,0,Room_Type 6,83,2018,4,1,spring,Online,0,0,0,159.3,0,Cancelada,1,6,4,1,1
81,INN00082,2,0,0,5,5,Meal Plan 1,0,Room_Type 4,128,2018,10,11,autumn,Online,0,0,0,132.3,0,Cancelada,1,4,4,0,1
82,INN00083,2,0,2,0,2,Not Selected,0,Room_Type 1,20,2018,12,25,winter,Online,0,0,0,88.0,2,No cancelada,0,1,4,3,0
83,INN00084,2,0,1,4,5,Meal Plan 1,0,Room_Type 4,40,2018,3,14,winter,Online,0,0,0,98.82,0,No cancelada,1,4,4,3,0
84,INN00085,2,0,1,2,3,Meal Plan 1,1,Room_Type 4,46,2018,3,4,winter,Online,0,0,0,98.3,1,No cancelada,1,4,4,3,0
85,INN00086,1,0,1,0,1,Meal Plan 1,0,Room_Type 1,1,2018,10,17,autumn,Online,0,0,0,150.0,2,No cancelada,1,1,4,0,0
86,INN00087,2,0,2,3,5,Not Selected,0,Room_Type 1,196,2018,9,4,summer,Online,0,0,0,96.05,1,No cancelada,0,1,4,2,0
87,INN00088,1,0,0,2,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,spring,Online,0,0,0,130.0,0,Cancelada,1,1,4,1,1
88,INN00089,2,0,0,1,1,Not Selected,0,Room_Type 1,17,2018,12,10,autumn,Online,1,0,5,95.0,0,No cancelada,0,1,4,0,0
89,INN00090,2,0,0,3,3,Meal Plan 1,0,Room_Type 5,146,2018,8,9,spring,Offline,0,0,0,113.56,0,No cancelada,1,5,3,1,0
90,INN00091,2,0,1,3,4,Not Selected,0,Room_Type 1,110,2018,5,5,spring,Online,0,0,0,101.58,1,No cancelada,0,1,4,1,0
91,INN00092,2,0,1,2,3,Meal Plan 1,1,Room_Type 1,68,2018,3,18,winter,Online,0,0,0,105.3,0,No cancelada,1,1,4,3,0
92,INN00093,2,0,2,1,3,Meal Plan 1,0,Room_Type 4,73,2018,4,9,spring,Online,0,0,0,115.8,1,No cancelada,1,4,4,1,0
93,INN00094,2,0,0,1,1,Meal Plan 1,0,Room_Type 4,92,2018,5,19,spring,Online,0,0,0,149.4,1,No cancelada,1,4,4,1,0
94,INN00095,2,0,2,5,7,Meal Plan 1,0,Room_Type 1,171,2018,8,30,spring,Online,0,0,0,111.59,0,Cancelada,1,1,4,1,1
95,INN00096,2,1,0,2,2,Meal Plan 1,1,Room_Type 1,134,2018,8,4,spring,Online,0,0,0,130.5,2,No cancelada,1,1,4,1,0
96,INN00097,2,0,0,2,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,spring,Online,0,0,0,115.0,1,Cancelada,2,1,4,1,1
97,INN00098,2,0,0,4,4,Meal Plan 1,0,Room_Type 1,118,2018,4,13,spring,Online,0,0,0,90.95,1,No cancelada,1,1,4,1,0
98,INN00099,2,0,0,3,3,Meal Plan 1,0,Room_Type 1,30,2018,11,17,spring,Online,0,0,0,76.08,1,No cancelada,1,1,4,1,0
99,INN00100,2,2,1,3,4,Meal Plan 1,0,Room_Type 6,30,2018,12,22,winter,Online,0,0,0,156.9,0,No cancelada,1,6,4,3,0
100,INN00101,2,0,1,0,1,Not Selected,0,Room_Type 1,189,2018,10,23,autumn,Online,0,0,0,85.5,2,No cancelada,0,1,4,0,0
101,INN00102,3,0,1,2,3,Meal Plan 1,0,Room_Type 4,55,2018,5,13,spring,Online,0,0,0,159.3,2,No cancelada,1,4,4,1,0
102,INN00103,1,0,0,4,4,Meal Plan 1,0,Room_Type 1,55,2018,12,13,autumn,Online,0,0,0,74.8,2,No cancelada,1,1,4,0,0
103,INN00104,2,0,0,1,1,Meal Plan 1,0,Room_Type 1,16,2017,10,31,autumn,Online,0,0,0,95.0,1,No cancelada,1,1,4,0,0
104,INN00105,2,0,0,3,3,Meal Plan 1,0,Room_Type 1,24,2017,10,8,autumn,Online,0,0,0,107.0,1,No cancelada,1,1,4,0,0
105,INN00106,2,0,0,3,3,Meal Plan 1,0,Room_Type 1,8,2018,2,16,spring,Offline,0,0,0,64.0,0,No cancelada,1,1,3,1,0
106,INN00107,2,0,1,4,5,Meal Plan 1,1,Room_Type 1,10,2017,11,2,winter,Online,0,0,0,82.95,0,No cancelada,1,1,4,3,0
107,INN00108,2,0,1,3,4,Meal Plan 1,0,Room_Type 4,0,2017,9,21,summer,Online,0,0,0,155.0,1,No cancelada,1,4,4,2,0
108,INN00109,2,0,0,1,1,Not Selected,0,Room_Type 1,12,2018,6,30,summer,Online,0,0,0,101.68,1,No cancelada,0,1,4,2,0
109,INN00110,2,0,2,1,3,Meal Plan 1,0,Room_Type 1,32,2017,9,5,summer,Online,0,0,0,94.5,3,No cancelada,1,1,4,2,0
110,INN00111,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,182,2018,9,30,autumn,Online,0,0,0,117.9,2,Cancelada,1,1,4,0,1
111,INN00112,2,0,1,0,1,Not Selected,0,Room_Type 1,1,2018,6,27,summer,Online,0,0,0,127.0,1,No cancelada,0,1,4,2,0
112,INN00113,2,0,0,3,3,Not Selected,0,Room_Type 1,122,2018,6,16,spring,Online,0,0,0,116.1,2,No cancelada,0,1,4,1,0
113,INN00114,2,0,2,3,5,Meal Plan 1,0,Room_Type 1,40,2018,6,30,summer,Online,0,0,0,117.9,1,No cancelada,1,1,4,2,0
114,INN00115,2,2,2,2,4,Meal Plan 1,0,Room_Type 2,116,2018,6,26,summer,Online,0,0,0,113.0009090909091,1,Cancelada,1,2,4,2,1
115,INN00116,3,0,2,2,4,Meal Plan 1,1,Room_Type 4,123,2018,8,13,spring,Online,0,0,0,155.7,1,No cancelada,1,4,4,1,0
116,INN00117,3,0,2,5,7,Meal Plan 1,0,Room_Type 4,40,2018,4,22,spring,Online,0,0,0,135.76,0,Cancelada,1,4,4,1,1
117,INN00118,2,1,2,5,7,Meal Plan 1,0,Room_Type 1,105,2018,11,12,spring,Online,0,0,0,102.83,3,No cancelada,1,1,4,1,0
118,INN00119,2,0,0,1,1,Meal Plan 1,0,Room_Type 1,443,2018,4,29,spring,Online,0,0,0,65.0,0,Cancelada,1,1,4,1,1
119,INN00120,2,0,2,3,5,Meal Plan 1,0,Room_Type 1,2,2017,11,14,spring,Online,0,0,0,103.0,1,No cancelada,1,1,4,1,0
120,INN00121,2,0,0,3,3,Meal Plan 1,0,Room_Type 1,317,2018,9,1,summer,Online,0,0,0,106.2,1,Cancelada,1,1,4,2,1
121,INN00122,2,0,0,2,2,Meal Plan 2,0,Room_Type 1,286,2018,9,16,summer,Offline,0,0,0,58.5,0,No cancelada,2,1,3,2,0
122,INN00123,2,0,1,3,4,Meal Plan 1,0,Room_Type 1,68,2018,3,10,winter,Online,0,0,0,73.95,0,Cancelada,1,1,4,3,1
123,INN00124,2,0,0,3,3,Meal Plan 1,0,Room_Type 1,148,2018,5,5,spring,Online,0,0,0,105.3,0,No cancelada,1,1,4,1,0
124,INN00125,3,0,2,0,2,Meal Plan 1,0,Room_Type 4,68,2018,4,24,spring,Online,0,0,0,133.2,2,No cancelada,1,4,4,1,0
125,INN00126,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,30,2018,3,30,spring,Offline,0,0,0,85.5,0,No cancelada,1,1,3,1,0
126,INN00127,1,0,0,1,1,Meal Plan 1,0,Room_Type 1,14,2018,11,3,spring,Online,0,0,0,112.0,1,Cancelada,1,1,4,1,1
127,INN00128,2,2,0,2,2,Meal Plan 1,0,Room_Type 6,110,2018,10,14,autumn,Online,0,0,0,154.02545454545452,0,Cancelada,1,6,4,0,1
128,INN00129,1,0,2,3,5,Meal Plan 1,0,Room_Type 1,117,2018,6,5,spring,Offline,0,0,0,110.0,0,No cancelada,1,1,3,1,0
129,INN00130,2,0,1,4,5,Meal Plan 1,0,Room_Type 4,85,2018,7,13,summer,Online,0,0,0,91.48,1,No cancelada,1,4,4,2,0
130,INN00131,2,0,0,2,2,Not Selected,0,Room_Type 1,1,2018,10,20,autumn,Online,0,0,0,135.0,2,No cancelada,0,1,4,0,0
131,INN00132,1,0,1,2,3,Meal Plan 1,0,Room_Type 1,25,2018,10,17,autumn,Online,0,0,0,129.0,2,No cancelada,1,1,4,0,0
132,INN00133,2,0,2,4,6,Not Selected,0,Room_Type 1,289,2018,12,28,winter,Online,0,0,0,70.55,2,Cancelada,0,1,4,3,1
133,INN00134,2,0,1,4,5,Meal Plan 1,0,Room_Type 4,28,2017,10,19,autumn,Offline,0,0,0,75.0,0,No cancelada,1,4,3,0,0
134,INN00135,1,0,0,4,4,Not Selected,0,Room_Type 1,80,2018,3,29,spring,Online,0,0,0,72.25,0,No cancelada,0,1,4,1,0
135,INN00136,2,0,0,1,1,Meal Plan 1,0,Room_Type 4,11,2017,10,9,autumn,Online,0,0,0,155.0,2,No cancelada,1,4,4,0,0
136,INN00137,2,1,1,0,1,Meal Plan 1,0,Room_Type 1,162,2018,7,25,summer,Online,0,0,0,121.5,2,Cancelada,1,1,4,2,1
137,INN00138,2,0,2,5,7,Meal Plan 1,0,Room_Type 1,155,2018,6,28,summer,Online,0,0,0,90.95,2,No cancelada,1,1,4,2,0
138,INN00139,1,0,2,2,4,Meal Plan 1,0,Room_Type 1,82,2018,5,22,spring,Online,0,0,0,109.65,0,No cancelada,1,1,4,1,0
139,INN00140,3,0,2,4,6,Meal Plan 1,0,Room_Type 4,27,2018,4,15,spring,Online,0,0,0,142.72,0,Cancelada,1,4,4,1,1
140,INN00141,1,0,1,2,3,Meal Plan 1,0,Room_Type 1,13,2018,5,9,spring,Offline,0,0,0,90.0,0,No cancelada,1,1,3,1,0
141,INN00142,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,spring,Online,0,0,0,75.0,0,Cancelada,1,1,4,1,1
142,INN00143,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,11,2018,11,18,spring,Online,0,0,0,111.0,1,Cancelada,1,1,4,1,1
143,INN00144,2,0,2,2,4,Meal Plan 1,0,Room_Type 1,266,2018,10,30,autumn,Online,0,0,0,86.7,2,No cancelada,1,1,4,0,0
144,INN00145,2,0,1,0,1,Meal Plan 1,0,Room_Type 1,39,2018,3,28,spring,Online,0,0,0,117.9,1,No cancelada,1,1,4,1,0
145,INN00146,1,0,0,2,2,Meal Plan 1,0,Room_Type 1,13,2018,6,1,spring,Complementary,1,3,5,65.75727272727272,1,No cancelada,1,1,1,1,0
146,INN00147,2,0,0,4,4,Not Selected,0,Room_Type 1,112,2018,5,4,spring,Online,0,0,0,101.58,1,No cancelada,0,1,4,1,0
147,INN00148,2,0,1,2,3,Not Selected,0,Room_Type 1,88,2018,4,8,summer,Online,0,0,0,58.9,1,No cancelada,0,1,4,2,0
148,INN00149,2,0,0,1,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,summer,Offline,0,0,0,120.0,0,No cancelada,1,1,3,2,0
149,INN00150,2,0,2,3,5,Meal Plan 1,0,Room_Type 4,73,2018,4,7,spring,Online,0,0,0,107.1,0,Cancelada,1,4,4,1,1
150,INN00151,2,0,1,1,2,Meal Plan 1,0,Room_Type 1,80,2018,5,2,winter,Online,0,0,0,126.9,1,No cancelada,1,1,4,3,0
151,INN00152,2,0,0,3,3,Meal Plan 1,0,Room_Type 4,130,2018,9,29,autumn,Online,0,0,0,139.5,2,Cancelada,1,4,4,0,1
152,INN00153,2,0,1,3,4,Not Selected,0,Room_Type 1,69,2018,4,4,spring,Online,0,0,0,80.75,1,No cancelada,0,1,4,1,0
153,INN00154,2,0,0,2,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,summer,Online,0,0,0,109.0,0,Cancelada,2,1,4,2,1
154,INN00155,2,0,0,1,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,spring,Offline,0,0,0,104.0,0,No cancelada,2,1,3,1,0
155,INN00156,1,0,0,3,3,Meal Plan 1,0,Room_Type 1,4,2018,11,1,spring,Corporate,1,1,5,65.0,1,No cancelada,1,1,2,1,0
156,INN00157,2,0,0,3,3,Meal Plan 1,0,Room_Type 4,97,2018,5,24,spring,Online,0,0,0,140.4,0,No cancelada,1,4,4,1,0
157,INN00158,2,0,0,3,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,spring,Offline,0,0,0,75.0,0,No cancelada,1,1,3,1,0
158,INN00159,2,0,0,1,1,Not Selected,0,Room_Type 1,31,2018,4,14,spring,Online,0,0,0,94.5,0,Cancelada,0,1,4,1,1
159,INN00160,2,0,1,0,1,Not Selected,0,Room_Type 1,0,2018,6,5,spring,Online,0,0,0,109.0,0,No cancelada,0,1,4,1,0
160,INN00161,2,0,2,2,4,Meal Plan 1,0,Room_Type 1,62,2018,11,12,spring,Online,0,0,0,105.0,2,No cancelada,1,1,4,1,0
161,INN00162,2,0,2,2,4,Meal Plan 1,0,Room_Type 4,86,2018,4,17,spring,Online,0,0,0,107.95,1,No cancelada,1,4,4,1,0
162,INN00163,3,0,2,2,4,Meal Plan 1,0,Room_Type 7,3,2018,10,7,autumn,Online,0,0,0,146.60818181818183,1,No cancelada,1,7,4,0,0
163,INN00164,2,0,1,1,2,Not Selected,0,Room_Type 1,197,2018,8,1,spring,Online,0,0,0,85.5,1,No cancelada,0,1,4,1,0
164,INN00165,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,143,2018,7,12,summer,Online,0,0,0,105.3,2,No cancelada,1,1,4,2,0
165,INN00166,1,0,2,1,3,Meal Plan 2,0,Room_Type 1,23,2018,1,2,winter,Online,0,0,0,93.89363636363636,0,No cancelada,2,1,4,3,0
166,INN00167,2,0,0,2,2,Meal Plan 1,0,Room_Type 4,8,2018,6,15,spring,Online,0,0,0,156.0,0,Cancelada,1,4,4,1,1
167,INN00168,1,0,0,2,2,Meal Plan 1,0,Room_Type 1,13,2018,11,16,spring,Online,0,0,0,73.15,1,No cancelada,1,1,4,1,0
168,INN00169,2,0,1,2,3,Meal Plan 1,0,Room_Type 1,280,2018,9,19,summer,Online,0,0,0,110.0,0,Cancelada,1,1,4,2,1
169,INN00170,2,1,1,0,1,Not Selected,0,Room_Type 1,11,2017,9,13,summer,Online,0,0,0,87.4,1,No cancelada,0,1,4,2,0
170,INN00171,2,0,0,2,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,summer,Online,0,0,0,120.0,0,Cancelada,1,1,4,2,1
171,INN00172,2,0,1,2,3,Not Selected,0,Room_Type 1,185,2018,12,16,autumn,Online,0,0,0,79.2,0,Cancelada,0,1,4,0,1
172,INN00173,2,0,1,3,4,Meal Plan 1,0,Room_Type 1,160,2018,6,30,summer,Online,0,0,0,90.95,1,No cancelada,1,1,4,2,0
